,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Price,VIN,Link
0,2012 Honda civic EX 4 doors 80K miles automatic moon roof runs great,Toyota,Civic,2012, excellent, 4 cylinders, fwd, gas, 82000, black, mid-size, salvage, automatic, sedan,$5000,,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic-ex-4-doors/6710645314.html
1,2016 Honda Civic LX,Toyota,Civic,2016, like new, 4 cylinders, fwd, gas, 22250, grey, sub-compact, salvage, automatic, sedan,$11495,,https://losangeles.craigslist.org/lgb/cto/d/2016-honda-civic-lx/6696529351.html
2,Honda Civic EXl Turbo Hatchback Honda Sensing 40mpg,Toyota,Civic,2017, like new, 4 cylinders, fwd, gas, 9000, grey,, salvage, automatic,,$14200,,https://losangeles.craigslist.org/lac/cto/d/honda-civic-exl-turbo/6710624688.html
3,2013 Honda Civic SI One Owner Clean Title,Toyota,Civic,2013, excellent, 4 cylinders, fwd, gas, 45000,,, clean, manual, sedan,$14500,,https://losangeles.craigslist.org/sfv/cto/d/2013-honda-civic-si-one-owner/6710598238.html
4,2018 Honda Civic,Toyota,Civic,2018, good, 4 cylinders, fwd, gas, 2250, blue, mid-size, clean, automatic, sedan,$24344, 0,https://losangeles.craigslist.org/lac/cto/d/2018-honda-civic/6710586588.html
5,2012 Honda Civic,Toyota,Civic,2012, like new, 4 cylinders,, gas, 82000, black,, salvage, automatic,,$6900,,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic/6710496518.html
6,"Honda Civic EX 2014 americano,va llegando 81MIL MILLAS BOLSAS BUENAS!",Toyota,Civic,2014, like new, 4 cylinders,, gas, 81,,, salvage, automatic,,$7500,,https://losangeles.craigslist.org/wst/cto/d/honda-civic-ex-2014/6710470359.html
7,Honda Civic coupe 2013 lx,Toyota,Civic,2013, excellent, 4 cylinders, fwd, gas, 150000, black,, salvage, automatic,,$4000,,https://losangeles.craigslist.org/lac/cto/d/honda-civic-coupe-2013-lx/6710479455.html
8,2015 Honda Civic SE Sedan 4D  ** Clean Title - One Owner **,Toyota,Civic,2015, excellent, 4 cylinders, fwd, gas, 59600, black, compact, clean, automatic, sedan,$12500,,https://losangeles.craigslist.org/wst/cto/d/2015-honda-civic-se-sedan-4d/6710332717.html
9,HONDA CIVIC 2008,Toyota,Civic,2008, excellent, 4 cylinders,, gas, 160000, black, compact, clean, manual,,$4100, 2HGFG11698H540647,https://losangeles.craigslist.org/lac/cto/d/honda-civic-2008/6700430042.html
10,2012 Honda Civic,Toyota,Civic,2012, excellent, 4 cylinders, fwd, gas, 46000, brown, compact, salvage, automatic, sedan,$6800,,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic/6710311745.html
11,2008 Honda Civic,Toyota,Civic,2008, excellent, 4 cylinders, rwd, gas, 89300, silver, compact, clean, automatic, sedan,$6800,,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-civic/6700774219.html
12,"Honda Civic EX 2014 americano,va llegando 81MIL MILLAS BOLSAS BUENAS!",Toyota,Civic,2014, like new, 4 cylinders,, gas, 81,,, salvage, automatic,,$7500,,https://losangeles.craigslist.org/wst/cto/d/honda-civic-ex-2014/6710280501.html
13,2008 Honda Civic Hybrid,Toyota,Civic,2008, excellent, 4 cylinders, fwd, hybrid, 145000, yellow, mid-size, clean, automatic, sedan,$5500, JHMFA36268S025081,https://losangeles.craigslist.org/sgv/cto/d/2008-honda-civic-hybrid/6710264530.html
14,Stunning 2012 Honda Civic EX,Toyota,Civic,2012, excellent, 4 cylinders, fwd, gas, 88783, blue, mid-size, clean, automatic, sedan,$10499, 19XFB2F99CE305028,https://losangeles.craigslist.org/sfv/cto/d/stunning-2012-honda-civic-ex/6707517575.html
15,2008 Honda Civic,Toyota,Civic,2008, good,, fwd, gas, 149657, blue, compact, clean, automatic, sedan,$4500,,https://losangeles.craigslist.org/wst/cto/d/2008-honda-civic/6701265798.html
16,2012 Honda Civic LX Coupe,Toyota,Civic,2012, good, 4 cylinders,, gas, 101992, grey,, clean, automatic, coupe,$7200,,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-civic-lx-coupe/6697377615.html
17,Honda Civic Si 2D coupe 2017,Toyota,Civic,2017, excellent, 4 cylinders,, gas, 11000, green, full-size, clean, manual, convertible,$17600,,https://losangeles.craigslist.org/lac/cto/d/honda-civic-si-2d-coupe-2017/6710125761.html
18,2012 Honda Civic,Toyota,Civic,2012, like new, 4 cylinders,, gas, 82000, black,, salvage, automatic,,$6900,,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic/6710100913.html
