,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint_color,size,title_status,transmission,type,Price,VIN,Link
0,Honda Accord,Honda,Accord,2010, good, 4 cylinders, fwd, gas,117000, grey, mid-size, salvage, automatic, sedan,"$5,800 ", 1hgcp2f34aa019623,https://losangeles.craigslist.org/lgb/cto/d/honda-accord/6710644067.html
1,2012 Honda accord coupe,Honda,Accord,2012, excellent, 4 cylinders,, gas,111,,, clean, automatic,,"$7,995 ",,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord-coupe/6699535701.html
2,2017 Honda Acoord Sport,Honda,Accord,2017, good, 4 cylinders, fwd, gas,22, black, mid-size, salvage, automatic, sedan,"$14,500 ",,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-acoord-sport/6703846822.html
3,2017 Honda Accord sport special edition clean tittle,Honda,Accord,2017, like new, 4 cylinders, fwd, gas,2017, black,, clean, automatic, sedan,"$18,900 ",,https://losangeles.craigslist.org/wst/cto/d/2017-honda-accord-sport/6710581560.html
4,2011 Honda Accord Exl,Honda,Accord,2011, good, 4 cylinders, fwd, gas,82500, black, mid-size, clean, automatic, sedan,"$8,300 ", 1HGCP2F88BA080938,https://losangeles.craigslist.org/sfv/cto/d/2011-honda-accord-exl/6710548793.html
5,"* 2009 Honda Accord LX-p 4Door Sedan 100K * NO ACCIDENT ,PERFE RUN !!!",Honda,Accord,2009, excellent, 4 cylinders,, gas,100000,,, clean, automatic,,"$6,450 ", 1HGCP26499A197306,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4door/6694133929.html
6,2017 Honda Accord EX-L V6 Clean Title,Honda,Accord,2017, like new, 6 cylinders, fwd, gas,21000, grey, mid-size, clean, automatic, sedan,"$23,900 ",,https://losangeles.craigslist.org/sfv/cto/d/2017-honda-accord-ex-v6-clean/6704045437.html
7,2012 Honda Accord EX-L - $10900,Honda,Accord,2012, excellent, 4 cylinders, rwd, gas,72000,,, clean, automatic, sedan,"$10,900 ",,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord-ex-10900/6710429893.html
8,Honda Accord 2015 palmdale,Honda,Accord,2015, like new, 4 cylinders,, gas,61000,,, salvage, automatic,,"$9,500 ",,https://losangeles.craigslist.org/ant/cto/d/honda-accord-2015-palmdale/6710420915.html
9,"Honda Accord EX Sedan (56,900 Miles) Clean Title, Clean Carfax,1 Owner",Honda,Accord,2014, like new, 4 cylinders,, gas,56900, black,, clean, automatic, sedan,"$13,400 ", 1HGCR2F72EA172102,https://losangeles.craigslist.org/lac/cto/d/honda-accord-ex-sedanmiles/6692302788.html
10,"Honda Accord EX Sedan (56,900 Miles) Clean Title, Clean Carfax,1 Owner",Honda,Accord,2014, like new, 4 cylinders,, gas,56900, black,, clean, automatic, sedan,"$13,400 ", 1HGCR2F72EA172102,https://losangeles.craigslist.org/sgv/cto/d/honda-accord-ex-sedanmiles/6685413365.html
11,"Honda Accord EX Sedan (56,900 Miles) Clean Title, Clean Carfax,1 Owner",Honda,Accord,2014, like new, 4 cylinders,, gas,56900, black,, clean, automatic, sedan,"$13,400 ", 1HGCR2F72EA172102,https://losangeles.craigslist.org/sfv/cto/d/honda-accord-ex-sedanmiles/6692303055.html
12,2012 Honda Accord SE,Honda,Accord,2012, excellent, 4 cylinders, fwd, gas,65000, silver, full-size, salvage, automatic, sedan,"$8,100 ",,https://losangeles.craigslist.org/lgb/cto/d/2012-honda-accord-se/6710250364.html
13,2008 Accord Ex 111k 2nd owner no accidents,Honda,Accord,2008, good, 4 cylinders, fwd, gas,111000, silver,, lien, automatic, coupe,"$7,000 ", 1HGCS12868A022169,https://losangeles.craigslist.org/sfv/cto/d/2008-accord-ex-111k-2nd-owner/6710162494.html
14,2009 Honda Accord,Honda,Accord,2009, excellent, 4 cylinders, fwd, gas,114000, silver, mid-size, clean, automatic, sedan,"$7,500 ",,https://losangeles.craigslist.org/sfv/cto/d/2009-honda-accord/6710160069.html
15,2010 Honda Accord,Honda,Accord,2010, excellent, 4 cylinders, fwd, gas,43000, grey, full-size, clean, automatic, sedan,"$10,500 ",,https://losangeles.craigslist.org/wst/cto/d/2010-honda-accord/6702371020.html
16,2015 HONDA ACCORD LX  (25K),Honda,Accord,2015, new, 4 cylinders, fwd, gas,25000, blue, full-size, salvage, automatic, sedan,"$9,900 ",,https://losangeles.craigslist.org/lac/cto/d/2015-honda-accord-lx-25k/6700145101.html
17,2009 HONDA ACCORD LX-p 4door Sedan 100K miles * NO ACCIDENT * XLNT,Honda,Accord,2009, excellent, 4 cylinders, fwd, gas,100000,,, clean, automatic,,"$6,400 ", 1HGCP26499A197306,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4door/6705335300.html
18,Honda accord exl 2008,Honda,Accord,2008, good, 6 cylinders, fwd, gas,142000, grey, mid-size, salvage, automatic, sedan,"$4,800 ",,https://losangeles.craigslist.org/sfv/cto/d/honda-accord-exl-2008/6694650816.html
19,Honda Accord 2009 EX-L Sedan 84K miles -,Honda,Accord,2009, excellent, 6 cylinders, fwd, gas,84878, grey, full-size, clean, automatic, sedan,"$9,800 ", 1hgcp36839a034871,https://losangeles.craigslist.org/sfv/cto/d/honda-accord-2009-ex-sedan/6710114203.html
20,2009 HONDA ACCORD EX-L Pearl White CLEAN TITLE Leather Seats OBO,Honda,Accord,2009, like new,, fwd, gas,111500, white, full-size, clean, automatic, sedan,"$7,200 ", 1HGCP36819A032486,https://losangeles.craigslist.org/lgb/cto/d/2009-honda-accord-ex-pearl/6709947784.html
21,2017 Honda Accord Sport special Edition,Honda,Accord,2017, like new, 4 cylinders,, gas,26000,,, salvage, automatic,,"$15,290 ",,https://losangeles.craigslist.org/lac/cto/d/2017-honda-accord-sport/6709886220.html
22,2009 Honda Accord LX-p 4D Sedan 100K miles *NO ACCIDENT  * XLNT,Honda,Accord,2009, excellent, 4 cylinders,, gas,100000,,, clean, automatic,,"$6,400 ", 1HGCP26499A197306,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4d-sedan/6700479922.html
23,2012 Honda Accord EXL Fully Loaded,Honda,Accord,2012, excellent, 6 cylinders, fwd, gas,50000, black, compact, salvage, automatic, coupe,"$8,200 ", 1HGCS2B82CA001446,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-accord-exl-fully/6709746902.html
24,2008 honda accord,Honda,Accord,2008, good, 4 cylinders, fwd, gas,120, silver, mid-size, salvage, automatic,,"$5,600 ",,https://losangeles.craigslist.org/lgb/cto/d/2008-honda-accord/6707353739.html
25,2017 Honda Accord Sport Special Edition Silver,Honda,Accord,2017, excellent, 4 cylinders, fwd, gas,13000, silver,, salvage, automatic, sedan,"$15,400 ",,https://losangeles.craigslist.org/ant/cto/d/2017-honda-accord-sport/6704048115.html
26,2017 HONDA ACCORD. LX CLEAN TITLE,Honda,Accord,2017, excellent, 4 cylinders, fwd, gas,11000, black,, clean, automatic, sedan,"$15,500 ",,https://losangeles.craigslist.org/wst/cto/d/2017-honda-accord-lx-clean/6709625260.html
27,2014 Honda Accord Sport Model,Honda,Accord,2014, like new, 4 cylinders, fwd, gas,38406, black, compact, clean, manual, sedan,"$15,500 ",,https://losangeles.craigslist.org/sgv/cto/d/2014-honda-accord-sport-model/6709462627.html
