,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Title,Price,links
0, 5YFBURHE3EP002971, excellent, 4 cylinders, fwd, gas, 107600, white, compact, clean, automatic, sedan,2014 Toyota Corolla LE,$9200,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-corolla-le/6694243548.html
1, 5YFBU4EEXDP214711, like new, 4 cylinders, fwd, gas, 46000, silver,, clean, automatic,,"2013 Toyota Corolla LE, 46k miles 1 owner, like new, only next 4 days",$9800,https://losangeles.craigslist.org/sgv/cto/d/2013-toyota-corolla-le-46k/6710014378.html
2,, excellent, 4 cylinders, fwd, gas, 131360, black, full-size, clean, automatic, sedan,2010 Toyota Corolla S sedan súper clean,$6950,https://losangeles.craigslist.org/sgv/cto/d/2010-toyota-corolla-sedan/6709987427.html
3,, good, 4 cylinders, fwd, gas, 117500, white, compact, clean, automatic, sedan,2008 Toyota Corolla CE,$4999,https://losangeles.craigslist.org/sfv/cto/d/2008-toyota-corolla-ce/6709937604.html
4, 1NXBU40E19Z148949, good, 4 cylinders, fwd, gas, 187310, silver, compact, clean, automatic, sedan,2009 Toyota Corolla S,$6500,https://losangeles.craigslist.org/sgv/cto/d/2009-toyota-corolla/6709915166.html
5,, excellent, 4 cylinders,, gas, 129000,,, clean, automatic,,2012 Toyota Corolla LE 4 Cylinders,$6800,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-corolla-le-4/6707704651.html
6,, like new, 4 cylinders, fwd, gas, 115800, white, mid-size, clean, automatic, sedan,2010 Toyota Corolla LE- $7700,$7700,https://losangeles.craigslist.org/wst/cto/d/2010-toyota-corolla-le-7700/6709768318.html
7, 5YFBURHEXGP458579, excellent, 4 cylinders, fwd, gas, 50000, blue, compact, salvage, automatic, sedan,2016 Toyota Corolla S 2017,$10800,https://losangeles.craigslist.org/sfv/cto/d/2016-toyota-corolla-2017/6709743969.html
8, 5YFBURHE6HP627501, excellent, 4 cylinders, fwd, gas, 44800, grey, compact, clean, automatic, sedan,2017 Toyota Corolla L - 4D Sedan ** One Owner - Clean Title **,$13750,https://losangeles.craigslist.org/lac/cto/d/2017-toyota-corolla-4d-sedan/6709749150.html
9,, excellent, 4 cylinders,, gas, 128000,,, clean, automatic,,2012 toyota corolla,$6800,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-corolla/6709737941.html
10,, good, 4 cylinders, fwd, gas, 55800, black, compact, salvage, automatic, sedan,2012 TOYOTA COROLLA S 56k miles $6300$,$6200,https://losangeles.craigslist.org/sfv/cto/d/2012-toyota-corolla-56k-miles/6684434438.html
11, Clean title, like new,,, gas, 61000, white,, clean, automatic,,2014 Toyota Corolla,$14000,https://losangeles.craigslist.org/lac/cto/d/2014-toyota-corolla/6709646684.html
12,, excellent, 4 cylinders,, gas, 128000,,, clean, automatic,,2012 toyota corolla,$6800,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-corolla/6709588852.html
13,, excellent, 4 cylinders,, gas, 128000,,, clean, automatic,,2012 toyota corolla,$6800,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-corolla/6709453750.html
14,, excellent, 4 cylinders,, gas, 128000,,, clean, automatic,,2012 toyota corolla,$6800,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-corolla/6709442920.html
15,, excellent, 4 cylinders, fwd, gas, 109206, black, compact, clean, automatic, sedan,2010 Toyota Corolla LE,$7499,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-corolla-le/6709434182.html
