,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Price,VIN,Link
0,"2009 Toyota Pirus IV, 112000 miles",Toyota,Prius,2009, excellent, 4 cylinders, fwd, hybrid, 112000, white, compact, clean, automatic, sedan,$7800, JTDKB20U797858488,https://losangeles.craigslist.org/lgb/cto/d/2009-toyota-pirus-ivmiles/6703088577.html
1,2009 Toyota Prius clean title clean carfax camera 178k,Toyota,Prius,2009, excellent, 4 cylinders, fwd, hybrid, 178925,, compact, clean, automatic, hatchback,$4400,,https://losangeles.craigslist.org/wst/cto/d/2009-toyota-prius-clean-title/6710612940.html
2,"2008 TOYOTA PRIUS -- 81,000 MILES -",Toyota,Prius,2008, excellent, 4 cylinders, fwd, hybrid, 81000, green, compact, clean, automatic, hatchback,$10500, jtdkb20u583368766,https://losangeles.craigslist.org/wst/cto/d/2008-toyota-priusmiles/6697992822.html
3,** 2011 Toyota Prius **,Toyota,Prius,2011, excellent, 4 cylinders, fwd, hybrid, 83600, white, mid-size, clean, automatic, hatchback,$9900,,https://losangeles.craigslist.org/sgv/cto/d/2011-toyota-prius/6710538316.html
4,2010 Toyota Prius,Toyota,Prius,2010, excellent,,, hybrid, 113000,,, clean, automatic,,$7400,,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-prius/6710549852.html
5,2013 Toyota prius IV low 87k miles clean title,Toyota,Prius,2013, excellent,,, gas, 87277,,, clean, automatic,,$12900,,https://losangeles.craigslist.org/lgb/cto/d/2013-toyota-prius-iv-low-87k/6694760217.html
6,Black 2017 Toyota Prius 2 Eco Hatchback 4D,Toyota,Prius,2017, new, 4 cylinders, fwd, hybrid, 5300, black, compact, clean, automatic, hatchback,$22500, JTDKBRFU9H3048267,https://losangeles.craigslist.org/sfv/cto/d/black-2017-toyota-prius-2-eco/6708405876.html
7,2016 Toyota Prius 3 Touring,Toyota,Prius,2016, like new, 4 cylinders, fwd, hybrid, 58500, white, full-size, clean, automatic, sedan,$20900, JTDKARFU9G3016694,https://losangeles.craigslist.org/lac/cto/d/2016-toyota-prius-3-touring/6708272360.html
8,2009 Toyota Prius Hatchback *31 Service Recs* CLEAN TITLE,Toyota,Prius,2009, good, 4 cylinders,, hybrid, 196000,,, clean, automatic, hatchback,$3995,,https://losangeles.craigslist.org/lgb/cto/d/2009-toyota-prius-hatchback/6710321306.html
9,2009 Toyota Prius,Toyota,Prius,2009, like new, 4 cylinders, fwd, hybrid, 149000, white, full-size, clean, automatic, hatchback,$5800,,https://losangeles.craigslist.org/sfv/cto/d/2009-toyota-prius/6710313554.html
10,2015 Prius $16.5 OBO,Toyota,Prius,2015, like new,,, hybrid, 48000, white,, salvage, automatic,,$16500,,https://losangeles.craigslist.org/wst/cto/d/2015-prius-165-obo/6710302145.html
11,2014 Toyota Prius Plug in--54k Miles--Clean Title--Excellent Condition,Toyota,Prius,2014, excellent, 4 cylinders,, hybrid, 54000,,, clean, automatic,,$15500,,https://losangeles.craigslist.org/lac/cto/d/2014-toyota-prius-plug-in-54k/6708544293.html
12,2013 Toyota Prius Persona Series 83k miles,Toyota,Prius,2013, excellent, 4 cylinders, fwd, hybrid, 83358, white,, salvage, automatic,,$9500, JTDKN3DU7D5593230,https://losangeles.craigslist.org/sfv/cto/d/2013-toyota-prius-persona/6710267699.html
13,2011 Toyota Prius Touring Edition 85k miles,Toyota,Prius,2011, excellent, 4 cylinders, fwd, hybrid, 85586, black,, salvage, automatic,,$8200, JTDKN3DU9A5014721,https://losangeles.craigslist.org/sfv/cto/d/2011-toyota-prius-touring/6710264589.html
14,2015 TOYOTA PRIUS II HYBRID  EXCELLENT CONDITION LOW MILES GOOD DEAL,Toyota,Prius,2015, excellent, 4 cylinders, fwd, hybrid, 47000, white, mid-size, clean, automatic, sedan,$13900,,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-prius-ii-hybrid/6707700726.html
15,2015 Prius Persona clean,Toyota,Prius,2015, like new, other, fwd, hybrid, 100800, white, compact, clean, automatic, hatchback,$15000,,https://losangeles.craigslist.org/lac/cto/d/2015-prius-persona-clean/6695617417.html
16,2014 TOYOTA PRIUS 84K MILES LEATHER GPS PRIUS 4,Toyota,Prius,2014, excellent, 4 cylinders, fwd, hybrid, 84000, black, compact, salvage, automatic, hatchback,$9500,,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-prius-84k-miles/6710224120.html
17,2014 Prius Plug-in (Excellent condition/1 owner/clean title),Toyota,Prius,2014, excellent,,, hybrid, 75000, grey, compact, clean, automatic, hatchback,$13990,,https://losangeles.craigslist.org/wst/cto/d/2014-prius-plug-in-excellent/6710174413.html
18,2010 TOYOTA PRIUS - EXCELLENT CONDITION - [NEW HYBRID BATTERY],Toyota,Prius,2010, excellent, 4 cylinders,, hybrid, 209206,,, clean, automatic,,$5950,,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-prius-excellent/6710070791.html
19,2008 Prius maintained by dealer,Toyota,Prius,2008, good, 4 cylinders, fwd, gas, 158000, blue, compact, clean, automatic, hatchback,$5900,,https://losangeles.craigslist.org/sfv/cto/d/2008-prius-maintained-by/6710151211.html
20,2010 TOYOTA PRIUS - [NEW HYBRID BATTERY] CLEAN TITLE,Toyota,Prius,2010, excellent,,, hybrid, 209000,,, clean, automatic,,$5950,,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-prius-new-hybrid/6710126893.html
21,2014 Toyota Prius,Toyota,Prius,2014, good,,, gas, 62000, grey,, clean, automatic,,$12500,,https://losangeles.craigslist.org/lac/cto/d/2014-toyota-prius/6710147496.html
22,Toyota prius 2011,Toyota,Prius,2011, good, 4 cylinders, fwd, hybrid, 106000,, mid-size, salvage, automatic, sedan,$5700,,https://losangeles.craigslist.org/sfv/cto/d/toyota-prius-2011/6710121439.html
23,2010 TOYOTA PRIUS - CLEAN CARFAX - NEW HYBRID BATTERY!!,Toyota,Prius,2010, excellent, 4 cylinders, fwd, hybrid, 209260, black,, clean, automatic, hatchback,$5950,,https://losangeles.craigslist.org/sfv/cto/d/2010-toyota-prius-clean/6710078002.html
24,2010 Prius,Toyota,Prius,2010, good, 4 cylinders, fwd, gas, 133000, black, compact, clean, automatic, hatchback,$6500,,https://losangeles.craigslist.org/ant/cto/d/2010-prius/6710089026.html
25,2008 toyota prius 135k miles LOADED car fax,Toyota,Prius,2008, excellent, 4 cylinders,, hybrid, 140981,,, salvage, automatic,,$4200, JTDKB20UX87773370,https://losangeles.craigslist.org/sfv/cto/d/2008-toyota-prius-135k-miles/6686248219.html
26,2010 Toyota Prius,Toyota,Prius,2010, excellent, 4 cylinders, fwd, hybrid, 69130, white, full-size, clean, automatic, hatchback,$10500, JTDKN3DUXA0098707,https://losangeles.craigslist.org/wst/cto/d/2010-toyota-prius/6710052190.html
27,2015 Toyota Prius C with partial extended warranty,Toyota,Prius,2015, excellent, 4 cylinders, fwd, hybrid, 23000, blue, compact, clean, automatic, hatchback,$13500, JTDKDTB30F1097628,https://losangeles.craigslist.org/sfv/cto/d/2015-toyota-prius-with/6710002066.html
28,2015 Toyota Prius -NAVIGATION/BACKUP CAMERA,Toyota,Prius,2015, excellent, 4 cylinders, fwd, hybrid, 54000, blue, full-size, clean, automatic, hatchback,$12800,,https://losangeles.craigslist.org/sfv/cto/d/2015-toyota-prius-navigation/6709949798.html
29,2010 Toyota Prius IV,Toyota,Prius,2010, excellent, 4 cylinders, fwd, hybrid, 169000, blue, compact, clean, automatic, hatchback,$5900, JTDKN3DU4A0025249,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-prius-iv/6709886116.html
30,2010 Toyota Prius II Hybrid Hatchback ** Low Mileage - Clean Title **,Toyota,Prius,2010, excellent, 4 cylinders, fwd, hybrid, 71300, blue, compact, clean, automatic, hatchback,$9500,,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-prius-ii-hybrid/6709872624.html
31,"Toyota Prius C 2016, Low Mileage , Like New , Clean Title, One Owner",Toyota,Prius,2016, like new, 4 cylinders, fwd, hybrid, 20126, blue, compact, clean, automatic, hatchback,$14900,,https://losangeles.craigslist.org/wst/cto/d/toyota-prius-2016-low-mileage/6709837628.html
32,sweet black 2014 prius  + low miles,Toyota,Prius,2014, good, 4 cylinders, fwd, gas, 49000, black, compact, salvage, automatic, hatchback,$5700,,https://losangeles.craigslist.org/lgb/cto/d/sweet-black-2014-prius-low/6709826060.html
33,2015 Toyota Prius c Four,Toyota,Prius,2015, like new, 4 cylinders, fwd, hybrid, 46341, white, compact, clean, automatic, hatchback,$15000, JTDKDTB30F1090727,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-prius-four/6686072187.html
34,2008 Toyota Prius fully loaded,Toyota,Prius,2008, excellent, 4 cylinders, fwd, hybrid, 105369, grey,, salvage, automatic,,$5000, JTDKB20U183318797,https://losangeles.craigslist.org/sfv/cto/d/2008-toyota-prius-fully-loaded/6709674285.html
