id,Title,Make,Model,Year,Condition,Cylinders,Drive,Fuel,Odometer,Paint_color,Size,Title_status,Transmission,Type,Price,VIN,Link
0,Honda Accord,Honda,Accord,2010, good, 4 cylinders, fwd, gas,117000, grey, mid-size, salvage, automatic, sedan,5800.00, 1hgcp2f34aa019623,https://losangeles.craigslist.org/lgb/cto/d/honda-accord/6710644067.html
1,2012 Honda accord coupe,Honda,Accord,2012, excellent, 4 cylinders,, gas,111,,, clean, automatic,,7995.00,,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord-coupe/6699535701.html
2,2017 Honda Acoord Sport,Honda,Accord,2017, good, 4 cylinders, fwd, gas,22, black, mid-size, salvage, automatic, sedan,14500.00,,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-acoord-sport/6703846822.html
3,2017 Honda Accord sport special edition clean tittle,Honda,Accord,2017, like new, 4 cylinders, fwd, gas,2017, black,, clean, automatic, sedan,18900.00,,https://losangeles.craigslist.org/wst/cto/d/2017-honda-accord-sport/6710581560.html
4,2011 Honda Accord Exl,Honda,Accord,2011, good, 4 cylinders, fwd, gas,82500, black, mid-size, clean, automatic, sedan,8300.00, 1HGCP2F88BA080938,https://losangeles.craigslist.org/sfv/cto/d/2011-honda-accord-exl/6710548793.html
5,"* 2009 Honda Accord LX-p 4Door Sedan 100K * NO ACCIDENT ,PERFE RUN !!!",Honda,Accord,2009, excellent, 4 cylinders,, gas,100000,,, clean, automatic,,6450.00, 1HGCP26499A197306,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4door/6694133929.html
6,2017 Honda Accord EX-L V6 Clean Title,Honda,Accord,2017, like new, 6 cylinders, fwd, gas,21000, grey, mid-size, clean, automatic, sedan,23900.00,,https://losangeles.craigslist.org/sfv/cto/d/2017-honda-accord-ex-v6-clean/6704045437.html
7,2012 Honda Accord EX-L - $10900,Honda,Accord,2012, excellent, 4 cylinders, rwd, gas,72000,,, clean, automatic, sedan,10900.00,,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord-ex-10900/6710429893.html
8,Honda Accord 2015 palmdale,Honda,Accord,2015, like new, 4 cylinders,, gas,61000,,, salvage, automatic,,9500.00,,https://losangeles.craigslist.org/ant/cto/d/honda-accord-2015-palmdale/6710420915.html
9,"Honda Accord EX Sedan (56,900 Miles) Clean Title, Clean Carfax,1 Owner",Honda,Accord,2014, like new, 4 cylinders,, gas,56900, black,, clean, automatic, sedan,13400.00, 1HGCR2F72EA172102,https://losangeles.craigslist.org/lac/cto/d/honda-accord-ex-sedanmiles/6692302788.html
