,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Price,VIN,Link
0,2017 Camry SE,Toyota,Camry,2017, like new, 4 cylinders, fwd, gas, 11411, grey, mid-size, salvage, automatic, sedan,$13795,,https://losangeles.craigslist.org/lgb/cto/d/2017-camry-se/6688978573.html
1,2015 Toyota Cambry hybrid,Toyota,Camry,2015, like new, 4 cylinders, fwd, hybrid, 13500, blue, mid-size, clean, automatic, sedan,$22000,,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-cambry-hybrid/6705122658.html
2,2014 Toyota Camry SE,Toyota,Camry,2014, excellent,,, gas, 44800,,, clean, automatic,,$13500,,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-camry-se/6707698935.html
3,2014 Toyota Camry SE,Toyota,Camry,2014, excellent,,, gas, 44800,,, clean, automatic,,$13500,,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-camry-se/6710607119.html
4,2012 Toyota Camry LE,Toyota,Camry,2012, like new, 4 cylinders, fwd, gas, 77615, silver, compact, clean, automatic, sedan,$10500,,https://losangeles.craigslist.org/wst/cto/d/2012-toyota-camry-le/6708548429.html
5,Toyota Camry Le 2008,Toyota,Camry,2008, like new, 4 cylinders, fwd, gas, 100000, black, compact, clean, automatic, sedan,$5700,,https://losangeles.craigslist.org/lac/cto/d/toyota-camry-le-2008/6710285661.html
6,2008  Toyota Camry XLE- V6 - Low miles-excellent condition,Toyota,Camry,2008, excellent, 6 cylinders,, gas, 86000,,, clean, automatic,,$7950,,https://losangeles.craigslist.org/sfv/cto/d/2008-toyota-camry-xle-v6-low/6704719790.html
7,Toyota Camry LE  2009 (Woodland Hills) 4650$,Toyota,Camry,2009, good, 4 cylinders, fwd, gas, 107700, black, full-size, salvage, automatic, sedan,$4650,,https://losangeles.craigslist.org/sfv/cto/d/toyota-camry-le-2009-woodland/6700233568.html
8,2008 TOYOTA CAMRY LE EXCELLENT CONDITION NICE SPORT CAR GOOD DEAL,Toyota,Camry,2008, excellent, 4 cylinders, fwd, gas, 139000, red, mid-size, clean, automatic, sedan,$5500,,https://losangeles.craigslist.org/lac/cto/d/2008-toyota-camry-le/6704000752.html
9,TOYOTA  CAMRY  2009,Toyota,Camry,2009, good, 4 cylinders, fwd, gas, 122789, black, compact, salvage, automatic, sedan,$4500,,https://losangeles.craigslist.org/lac/cto/d/toyota-camry-2009/6710219293.html
