,Condition,Cylinders,Drive,Fuel,Link,Make,Model,Odometer,Paint_color,Price,Size,Title,Title_status,Transmission,Type,Unnamed: 0,VIN,Year,id
0, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lgb/cto/d/honda-accord/6710644067.html,Honda,Accord,117000, grey,5800.0, mid-size,Honda Accord, salvage, automatic, sedan,, 1hgcp2f34aa019623,2010,0.0
1, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord-coupe/6699535701.html,Honda,Accord,111,,7995.0,,2012 Honda accord coupe, clean, automatic,,,,2012,1.0
2, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lgb/cto/d/2017-honda-acoord-sport/6703846822.html,Honda,Accord,22, black,14500.0, mid-size,2017 Honda Acoord Sport, salvage, automatic, sedan,,,2017,2.0
3, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/wst/cto/d/2017-honda-accord-sport/6710581560.html,Honda,Accord,2017, black,18900.0,,2017 Honda Accord sport special edition clean tittle, clean, automatic, sedan,,,2017,3.0
4, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2011-honda-accord-exl/6710548793.html,Honda,Accord,82500, black,8300.0, mid-size,2011 Honda Accord Exl, clean, automatic, sedan,, 1HGCP2F88BA080938,2011,4.0
5, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-lx-4door/6694133929.html,Honda,Accord,100000,,6450.0,,"* 2009 Honda Accord LX-p 4Door Sedan 100K * NO ACCIDENT ,PERFE RUN !!!", clean, automatic,,, 1HGCP26499A197306,2009,5.0
6, like new, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2017-honda-accord-ex-v6-clean/6704045437.html,Honda,Accord,21000, grey,23900.0, mid-size,2017 Honda Accord EX-L V6 Clean Title, clean, automatic, sedan,,,2017,6.0
7, excellent, 4 cylinders, rwd, gas,https://losangeles.craigslist.org/wst/cto/d/2012-honda-accord-ex-10900/6710429893.html,Honda,Accord,72000,,10900.0,,2012 Honda Accord EX-L - $10900, clean, automatic, sedan,,,2012,7.0
8, like new, 4 cylinders,, gas,https://losangeles.craigslist.org/ant/cto/d/honda-accord-2015-palmdale/6710420915.html,Honda,Accord,61000,,9500.0,,Honda Accord 2015 palmdale, salvage, automatic,,,,2015,8.0
9, like new, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/honda-accord-ex-sedanmiles/6692302788.html,Honda,Accord,56900, black,13400.0,,"Honda Accord EX Sedan (56,900 Miles) Clean Title, Clean Carfax,1 Owner", clean, automatic, sedan,, 1HGCR2F72EA172102,2014,9.0
10, like new, 4 cylinders,, gas,https://losangeles.craigslist.org/sgv/cto/d/honda-accord-ex-sedanmiles/6685413365.html,Honda,Accord,56900, black,13400.0,,"Honda Accord EX Sedan (56,900 Miles) Clean Title, Clean Carfax,1 Owner", clean, automatic, sedan,, 1HGCR2F72EA172102,2014,10.0
