,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Price,VIN,Link
0,2009 Toyota Corolla LE excellent condition,Toyota,Corolla,2009, excellent, 4 cylinders, fwd, gas, 134000, black, full-size, clean, automatic, sedan,$6300,,https://losangeles.craigslist.org/sgv/cto/d/2009-toyota-corolla-le/6706505472.html
1,2017 toyota Corolla,Toyota,Corolla,2017, like new, 4 cylinders, fwd, gas, 22000, blue, compact, clean, automatic, sedan,$13800,,https://losangeles.craigslist.org/lac/cto/d/2017-toyota-corolla/6704636484.html
2,2008 Toyota Corolla LE - Automatic - Clean Title - 128k Miles,Toyota,Corolla,2008, excellent, 4 cylinders, fwd, gas, 128000, silver,, clean, automatic, sedan,$4950,,https://losangeles.craigslist.org/sfv/cto/d/2008-toyota-corolla-le/6710546688.html
3,2008 TOYOTA COROLLA S,Toyota,Corolla,2008, excellent, 4 cylinders,, gas, 112000,,, clean, automatic,,$5550,,https://losangeles.craigslist.org/lac/cto/d/2008-toyota-corolla/6710498444.html
4,2012 toyota corolla,Toyota,Corolla,2012, excellent, 4 cylinders,, gas, 128000,,, clean, automatic,,$6800,,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-corolla/6710326989.html
5,Toyota Corolla S 2014 (Manual),Toyota,Corolla,2014, new, 4 cylinders, fwd, gas, 37000, white,, clean, manual, sedan,$11900,,https://losangeles.craigslist.org/lac/cto/d/toyota-corolla-2014-manual/6710322232.html
6,"2017 Toyota Corolla Le 2,400 miles",Toyota,Corolla,2017, like new, 4 cylinders, fwd, gas, 2400, white, compact, clean, automatic, sedan,$16995,,https://losangeles.craigslist.org/sgv/cto/d/2017-toyota-corolla-le-2400/6708560060.html
7,2015 TOYOTA COROLLA,Toyota,Corolla,2015, like new, 4 cylinders, fwd, gas, 65000, blue, compact, salvage, automatic, sedan,$7800,,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-corolla/6707420641.html
8,2012 toyota corolla,Toyota,Corolla,2012, excellent, 4 cylinders,, gas, 128000,,, clean, automatic,,$6800,,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-corolla/6710251342.html
9,2010 TOYOTA COROLLA  LE NICE CAR EXCELLENT CONDITION GOOD DEAL,Toyota,Corolla,2010, excellent, 4 cylinders, fwd, gas, 119157, white, mid-size, clean, automatic, sedan,$5980,,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-corolla-le-nice/6692209163.html
